"name","institution","delete"
"Frank Guadagnolo","Pennsylvania State University",""
"A. H. Welsh","Australian National University",""
"Santhat Sermsri","Mahidol University",""
"Eileen Nelson","James Madison University",""
"gsdgsdg sdgsd","gsdgds",""
"Single Author","{}",""
"W.Andrew Achenbraum","Institute for spirituality and health (Houston,Texas 77054)",""
"hdfhdf hdfhdfhd","hdfh",""
"Andrew .Achenbaum","University of Houston",""
"WILLIE PEARSON","Wake Forest University",""
"A. H. Welsh","Australian National university",""
"J.G.R de Monchy","Department of Allergology, University Hospital Groningen, The Netherlands",""
"Single Author","{}",""
"egewgewgewge wgewgwegwegewgewg","ewgewgewgewgewgew",""
"T Staufenbiel",NA,""
"hfdhfd hdfhdfhdf","hdfhdfhdhdhd",""
"Single Author","{}",""
"David R. Forde","Department of Criminology and Criminal Justice, University of Memphis",""
"David R. Forde","University of Memphis",""
"Stephen Webster","Kent State University",""
"John Wooldredge","{}",""
"John D. Wooldredge",NA,""
"Richard L. Schwab","Drake University",""
"Spero M. Manson","Colorado School of Public Health",""
"David R. Forde","University of Memphis",""
"David R. Forde","University of Memphis",""
"Alexander Szalay","Cornell University",""
"Richard D. Heimovics","Bloch School of Business and Public AdministrationUniversity of Missouri",""
"Richard Heimovics","{}",""
"Single Single","Single",""
"Single Author","{}",""
"David Forde","University of Memphis",""
"{} {}","{}",""
"hdfh\h rhhehehreh","herhrehehehej",""
"esgseg segsgse","{}",""
"Michiel Westenberg","{}",""
"gsdgsgsdgsgsdgsd gsdgsd","gsdgsdgsd",""
"P. Michiel Westenberg","N/A",""
"sgsgs gsdgsdgsd","sdgsdgsdgsdgsdgsdgsd",""
"P. Michiel Westenberg",NA,""
"Single Author","{}",""
"{} {}","{}",""
"Simon Kim","University of Southern California",""
"L Young",NA,""
"Loretta Young","Faculty of Social Work and Alberta Children's Hospital, University of Calgar",""
"P. Michiel Westenberg","N/A",""
"{} {}","{}",""
"P. Michiel Westenberg","N/A",""
"gewhwehrehehreh erhrehehreheher","fdhfdhdfhdhrhdhdrhdrhdr",""
"P. Michiel Westenberg","N/A",""
"gdsgsdg gdsgsd","gsd",""
"Tai Ho","Western Carolina University",""
"Single Author","{}",""
"hdfhfd hdfhfd","hdfhdfhdhfd",""
